,x,y,2G,3G,4G,latitude,longitude
10183,691217.0,6181894.0,1,1,1,42.7366,2.8929
10528,702755.0,6182147.0,1,1,1,42.7389,3.0336
6495,630843.0,6182611.0,1,1,0,42.7397,2.1564
10176,691110.0,6183453.0,1,1,1,42.7506,2.8915
6714,636394.0,6183778.0,1,1,0,42.7507,2.224
10434,699911.0,6183579.0,1,1,1,42.7518,2.9989
10062,687723.0,6183627.0,1,1,1,42.7521,2.8502
5699,600491.0,6184672.0,1,1,0,42.7547,1.7858
18728,1220515.0,6204873.0,1,1,0,42.7547,9.3578
18790,1229181.0,6205610.0,1,1,1,42.755,9.4639
10308,695704.0,6183979.0,1,1,1,42.7553,2.9476
5843,606577.0,6184698.0,1,1,0,42.7558,1.8601
9486,668605.0,6184138.0,1,1,0,42.7561,2.6169
9849,680059.0,6184154.0,1,1,1,42.7567,2.7567
9093,660499.0,6184428.0,1,1,1,42.7583,2.518
6243,622314.0,6184894.0,1,1,0,42.7594,2.052
9967,684270.0,6184605.0,1,1,1,42.7608,2.8081
18774,1228260.0,6206757.0,1,1,1,42.766,9.4538
10510,702303.0,6185206.0,1,1,1,42.7664,3.0281
7190,644889.0,6185465.0,1,1,0,42.7666,2.3274
10117,689582.0,6185284.0,1,1,1,42.767,2.8729
6036,615256.0,6185903.0,1,1,0,42.7677,1.9658
9895,681608.0,6185385.0,1,1,1,42.7678,2.7755
6317,624989.0,6185812.0,1,1,0,42.7679,2.0845
3668,501475.0,6188534.0,1,1,1,42.7689,0.5768
10410,698747.0,6185699.0,1,1,0,42.7708,2.9847
5169,575437.0,6186912.0,1,1,1,42.771,1.4797
10393,698349.0,6186082.0,1,1,1,42.7743,2.9798
18783,1228618.0,6207733.0,1,1,1,42.7744,9.4592
5534,592364.0,6187096.0,1,1,0,42.7753,1.6862
10005,685540.0,6186252.0,1,1,1,42.7757,2.8235
10236,692850.0,6186273.0,1,0,0,42.776,2.9127
9714,675537.0,6186331.0,1,1,1,42.7761,2.7014
10196,691693.0,6186446.0,1,1,1,42.7775,2.8986
7689,649098.0,6186729.0,1,1,0,42.7783,2.3787
8300,652533.0,6186733.0,1,1,0,42.7786,2.4206
10322,696141.0,6186637.0,1,1,1,42.7793,2.9529
3066,467295.0,6191458.0,1,1,1,42.785,0.1586
6073,616322.0,6187873.0,1,1,0,42.7855,1.9785
10530,702776.0,6187461.0,1,1,1,42.7867,3.0339
4705,560838.0,6189040.0,1,1,1,42.7874,1.301
3509,493355.0,6190999.0,1,1,1,42.7888,0.4768
6999,642698.0,6188025.0,1,1,0,42.7895,2.3004
6585,633217.0,6188157.0,1,1,0,42.7898,2.1847
3349,486386.0,6191406.0,1,1,1,42.7904,0.3916
2901,456237.0,6192535.0,1,1,0,42.791,0.0232
3690,502779.0,6190979.0,1,1,1,42.7913,0.5918
6359,626563.0,6188526.0,1,1,0,42.7925,2.1034
6725,636677.0,6188875.0,1,1,1,42.7966,2.2268
10146,690444.0,6188734.0,1,1,1,42.7981,2.8833
10539,702978.0,6188972.0,1,1,1,42.8003,3.0364
9431,667398.0,6189228.0,1,1,1,42.8018,2.6019
